clade_name	NCBI_tax_id	file5_all	file4_all	file3_all	file2_all	file1_all
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2|976|200643|171549|815	4.76946	4.05996	7.635839999999999	0.85641	12.317039999999999
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	2|976|200643|171549|815|816	4.76946	4.05996	7.635839999999999	0.85641	12.317039999999999
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron	2|976|200643|171549|815|816|818	4.76946	4.05996	7.635839999999999	0.85641	12.317039999999999
k__Bacteria|p__Firmicutes	2|1239	83.45121	84.72849000000001	69.28749	96.20124	43.57424
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	46.87549	19.34775	31.33695	35.98237	28.54973
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	46.87549	19.34775	31.33695	35.98237	28.54973
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae	2|1239|91061|186826|81852	0.19907	0.10503	0.28246	0.61885	0.51339
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus	2|1239|91061|186826|81852|1350	0.19907	0.10503	0.28246	0.61885	0.51339
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_faecalis	2|1239|91061|186826|81852|1350|1351	0.19907	0.10503	0.28246	0.61885	0.51339
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	2|1239|91061|186826|33958	1.3423	2.67888	0.18708	0.01712	0.05395
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus	2|1239|91061|186826|33958|1578	1.3423	2.67888	0.18708	0.01712	0.05395
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_johnsonii	2|1239|91061|186826|33958|1578|33959	1.3423	2.67888	0.18708	0.01712	0.05395
